School,Pace,3PAr,TRB%,STL%,TOV%,ORB%
George Mason,66.6,.465,51.3,7.4,16.1,25.0
George Washington,69.7,.358,46.2,9.8,16.0,23.2
Georgetown,71.0,.360,50.1,10.1,15.9,32.3
Georgia Southern,67.1,.350,50.0,11.0,18.5,28.6
Georgia State NCAA,68.3,.377,51.0,12.9,14.4,34.3
Georgia Tech,68.6,.346,49.0,11.2,16.7,25.7
Georgia,69.8,.370,48.4,7.5,18.4,25.6
Gonzaga NCAA,73.8,.355,56.0,9.0,14.2,29.0
Grambling,70.5,.281,48.2,9.4,17.6,27.9
Grand Canyon,67.7,.395,54.1,9.8,16.2,34.7
Green Bay,64.9,.347,48.4,7.7,17.4,27.3
Hampton,69.2,.349,46.6,7.4,16.0,23.1
Hartford,67.1,.452,48.3,9.0,16.2,23.8
Harvard,69.7,.428,49.8,10.8,15.4,25.4
Hawaii,66.2,.420,53.4,5.3,17.3,29.1
High Point,67.7,.340,49.6,9.3,16.7,28.3
Hofstra,70.5,.447,48.2,11.2,13.0,23.7
Holy Cross,67.9,.294,48.9,8.7,16.0,27.6
Houston Baptist,72.2,.363,52.5,10.8,17.8,31.9
Houston NCAA,65.4,.391,55.3,12.5,14.2,37.8
Howard,73.4,.395,48.3,11.4,17.5,28.9
Idaho State,65.9,.425,49.9,6.8,18.2,28.8
Idaho,71.3,.378,49.0,4.9,17.0,23.6
Illinois-Chicago,69.4,.461,48.5,8.2,15.2,24.6
Illinois State,69.2,.366,50.3,9.6,17.0,28.5
Illinois NCAA,68.2,.427,54.3,7.5,15.2,33.4
Incarnate Word,68.4,.448,45.6,7.6,17.7,23.6
Indiana State,69.4,.460,49.3,8.5,17.1,18.6
Indiana NCAA,67.9,.315,52.1,8.2,15.2,27.3
Iona,70.2,.361,51.2,9.3,15.4,31.8
Iowa State NCAA,67.2,.374,49.2,12.4,17.9,28.2
Iowa NCAA,70.4,.391,50.9,10.4,11.1,32.1
Purdue-Fort Wayne,69.4,.449,48.1,12.5,17.2,23.1
IUPUI,63.4,.348,49.0,9.0,22.6,31.1
Jackson State,65.9,.304,51.0,9.2,17.1,31.4
Jacksonville State NCAA,67.5,.429,53.5,9.1,17.1,29.6
Jacksonville,63.1,.316,55.7,10.3,15.3,33.6
James Madison,70.5,.359,48.2,11.9,15.4,26.9
Kansas State,67.4,.424,48.1,10.8,14.9,25.3
Kansas NCAA,69.5,.338,53.3,9.1,15.4,33.4
Kennesaw State,68.3,.385,51.7,10.3,15.5,30.9
Kent State,67.5,.400,53.1,10.5,15.7,31.2
Kentucky NCAA,69.3,.280,57.1,9.8,14.0,37.9
La Salle,68.4,.399,50.0,8.5,16.4,28.9
Lafayette,66.0,.458,46.2,9.3,14.6,22.9
Lamar,67.5,.307,49.1,8.6,18.5,30.2
Lehigh,68.8,.382,48.8,6.4,17.6,21.1
Liberty,66.0,.495,52.2,8.1,15.8,23.0
Lipscomb,71.2,.417,49.8,6.2,16.4,23.1
Long Beach State,71.7,.319,50.5,9.7,16.1,27.8
Long Island University,73.3,.400,50.6,10.4,15.9,30.4
